Status,Hostname,IP,Port,TCP_Conn,Latency(ms),Timestamp
Reply,google.com,216.58.207.206,80,1,293.349,2024-12-08 01:14:32
Reply,google.com,216.58.207.206,80,2,283.458,2024-12-08 01:14:33
Reply,google.com,216.58.207.206,80,3,286.398,2024-12-08 01:14:34
Reply,google.com,216.58.207.206,80,4,277.211,2024-12-08 01:14:35
Reply,google.com,216.58.207.206,80,5,335.059,2024-12-08 01:14:37
Reply,google.com,216.58.207.206,80,6,288.685,2024-12-08 01:14:37
Reply,google.com,216.58.207.206,80,7,278.510,2024-12-08 01:14:38
Reply,google.com,216.58.207.206,80,8,295.153,2024-12-08 01:14:39
Reply,google.com,216.58.207.206,80,9,298.399,2024-12-08 01:14:40
Reply,google.com,216.58.207.206,80,10,280.830,2024-12-08 01:14:41
Reply,google.com,216.58.207.206,80,11,376.692,2024-12-08 01:14:43
Reply,google.com,216.58.207.206,80,12,288.564,2024-12-08 01:14:43
Reply,google.com,216.58.207.206,80,13,322.513,2024-12-08 01:14:45
Reply,google.com,216.58.207.206,80,14,277.871,2024-12-08 01:14:45
Reply,google.com,216.58.207.206,80,15,289.862,2024-12-08 01:14:46
Reply,google.com,216.58.207.206,80,16,295.957,2024-12-08 01:14:47
Reply,google.com,216.58.207.206,80,17,296.148,2024-12-08 01:14:48
Reply,google.com,216.58.207.206,80,18,287.333,2024-12-08 01:14:49
Reply,google.com,216.58.207.206,80,19,279.460,2024-12-08 01:14:50
Reply,google.com,216.58.207.206,80,20,297.491,2024-12-08 01:14:51
Reply,google.com,216.58.207.206,80,21,284.533,2024-12-08 01:14:52
Reply,google.com,216.58.207.206,80,22,294.538,2024-12-08 01:14:53
Reply,google.com,216.58.207.206,80,23,358.669,2024-12-08 01:14:55
Reply,google.com,216.58.207.206,80,24,289.248,2024-12-08 01:14:55
