Metric,Value
Timestamp,2024-12-08T01:14:56+05:30
Total Packets,24
Successful Probes,24
Unsuccessful Probes,0
Packet Loss,0.00%
Last Successful Probe,2024-12-08 01:14:55
Last Unsuccessful Probe,0001-01-01 00:00:00
Total Uptime,24 seconds
Total Downtime,0 second
Longest Uptime,24 seconds,From,2024-12-08 01:14:32,To,2024-12-08 01:14:56
Retried Hostname Lookups,0
RTT Min,277.211 ms,RTT Avg,298.164 ms,RTT Max,376.692 ms
TCPing Started At,2024-12-08 01:14:32
TCPing Ended At,2024-12-08 01:14:56
Duration (HH:MM:SS),00:00:24
